CrashGuard.java,com.fasttrack.security.CrashGuard$1.run,#9978,2249,1641
AdmobNativeAdapter.java,net.appcloudbox.ads.adadapter.AdmobNativeAdapter.AdmobNativeAdapter.onLoad,#3523,450,374
MainGiftController.java,com.fasttrack.security.main.MainGiftController$3.onAnimationEnd,#9980,386,302
SCPackageManager.java,com.fasttrack.security.applock.manager.SCPackageManager.getAppIconFromSys,#9071,381,31
XmlUtils.java,com.android.internal.util.XmlUtils.readMapXml,#170,267,12
AdmobInterstitialAdapter.java,net.appcloudbox.ads.adadapter.AdmobInterstitialAdapter.AdmobInterstitialAdapter$3.run,#3601,218,182
s,com.avl.engine.c.a.s.a,#4073,138,96
CommonSessionMgr.java,net.appcloudbox.common.session.CommonSessionMgr.startSession,#9012,130,62
d,com.avl.engine.c.a.d.a,#7469,124,105
a,com.avl.engine.g.e.a.d,#4057,118,77
:com.google.android.gms.DynamiteModulesA@11975436,com.airbnb.lottie.Cancellable.cancel,#9125,114,82
ProtectedAppDatabaseHelper.java,com.fasttrack.security.applock.manager.ProtectedAppDatabaseHelper.fetchLockedApplicationNames,#9374,111,2
ClearCacheProcessor.java,com.ihs.device.clean.accessibility.task.clearcache.ClearCacheProcessor.processEvent,#2168,95,76
b,com.avl.engine.security.b.b,#741,80,43
AdmobNativeAdapter.java,net.appcloudbox.ads.adadapter.AdmobNativeAdapter.AdmobNativeAdapter$1.run,#3537,80,29
HSVersionControlUtils.java,com.ihs.app.utils.HSVersionControlUtils.getAppVersionCode,#611,76,49
Base64.java,net.appcloudbox.common.utils.Base64.decode,#2315,73,47
HSAppCompatActivity.java,com.fasttrack.security.HSAppCompatActivity.onCreate,#1440,67,27
i,com.avl.engine.a.i.c,#3961,63,10
XmlUtils.java,com.android.internal.util.XmlUtils.writeMapXml,#5609,63,8
HSAppCompatActivity.java,com.ihs.app.framework.activity.HSAppCompatActivity.onCreate,#672,59,49
:com.google.android.gms.DynamiteModulesA@11975438,bolts.UnobservedErrorNotifier.task,#9221,56,51
AcbAdmobNativeAd.java,net.appcloudbox.ads.adadapter.AdmobNativeAdapter.AcbAdmobNativeAd.getAdContainerView,#2152,55,45
:com.google.android.gms.DynamiteModulesA@11975434,com.airbnb.lottie.Cancellable.cancel,#9112,53,30
BaseActivity.java,com.ihs.chargingreport.BaseActivity.onCreate,#9109,52,9
NetworkChangeNotifierAutoDetect.java,org.chromium.net.NetworkChangeNotifierAutoDetect$ConnectivityManagerDelegate.getNetworkInfo,#1649,50,44
SCApplication.java,com.fasttrack.security.SCApplication.processFeatureChargingReport,#9127,50,38
NotificationManager.java,com.fasttrack.security.notification.NotificationManager.initIfNeeded,#9217,43,18
SessionMgr.java,com.ihs.app.framework.inner.SessionMgr.endSession,#7741,40,25
SafeWindowManager.java,com.fasttrack.security.floatwindow.SafeWindowManager.addView,#683,37,16
KeepAliveService.java,com.fasttrack.security.alive.KeepAliveService.onCreate,#2170,31,21
ResultPageActivity.java,com.fasttrack.security.resultpage.ResultPageActivity.finishSelfAndParentActivity,#8794,31,18
lr,com.flurry.sdk.lr.a,#4072,30,21
:com.google.android.gms.DynamiteModulesA@11975448,com.airbnb.lottie.Cancellable.cancel,#9147,30,17
NotificationGuideShowUtils,com.fasttrack.security.notificationcleaner.guide.NotificationGuideShowUtils$$Lambda$2.run,#9174,29,15
CommonSessionMgr.java,net.appcloudbox.common.session.CommonSessionMgr.endSession,#2448,28,18
SnapSurfaceView.java,com.fasttrack.security.view.SnapSurfaceView.surfaceCreated,#2275,27,6
CrashFileManager.java,org.chromium.components.minidump_uploader.CrashFileManager.,#3361,26,21
:com.google.android.gms.DynamiteModulesA@11975438,com.airbnb.lottie.Cancellable.cancel,#9235,26,21
HSAccTaskManager.java,com.ihs.device.clean.accessibility.HSAccTaskManager$1.com.ihs.device.clean.accessibility.agent.AccessibilityTaskAgent.getActionMode,#2137,25,22
AcbAdUtils.java,net.appcloudbox.ads.loadcontroller.AcbAdUtils.getNetworkInfo,#2236,25,19
Utils.java,com.acb.autopilot.utils.Utils.isNetworkConnected,#4756,25,1
SnapSurfaceView.java,com.fasttrack.security.view.SnapSurfaceView.getCameraDisplayOrientation,#4395,24,6
OneTapClearCacheProcessor.java,com.ihs.device.clean.accessibility.task.onetapclearcache.OneTapClearCacheProcessor.processEvent,#1077,23,18
EventUploadTask.java,com.acb.autopilot.inner.EventUploadTask$1.com.acb.autopilot.inner.data.EventDBHelper.insertEvent,#3271,23,19
FlashButton.java,com.fasttrack.security.lockscreen.charging.view.FlashButton.drawableToBitmap,#5350,22,5
AcbVersionControlUtils.java,net.appcloudbox.common.utils.AcbVersionControlUtils.getAppVersionCode,#2521,21,13
BubbleAnimationView.java,com.ihs.chargingreport.views.BubbleAnimationView.startBubbleAnimation,#7668,21,17
h,com.facebook.ads.internal.i.b.h.b,#7985,20,13
a,com.avl.engine.g.e.a.c,#5714,19,14
Thread.java,java.lang.Thread.nativeCreate,#238,18,11
DiskBasedCache.java,com.mopub.volley.toolbox.DiskBasedCache.streamToBytes,#2470,18,10
AcbAdmobNativeAd.java,net.appcloudbox.ads.adadapter.AdmobNativeAdapter.AcbAdmobNativeAd.getAdContainerView,#2474,18,17
q,com.avl.engine.c.a.q.a,#5729,18,14
Runtime.java,java.lang.Runtime.loadLibrary,#412,17,2
FlurryLogger.java,net.appcloudbox.common.analytics.logger.FlurryLogger$FlurryDBHelper.getFlurryItems,#3630,17,3
NotificationCleanerProvider.java,com.fasttrack.security.notificationcleaner.data.NotificationCleanerProvider.fetchBlockedAndTimeValidNotificationCount$1385f2,#6720,16,13
CrashGuard.java,com.fasttrack.security.CrashGuard$1.run,#9061,16,14
:com.google.android.gms.DynamiteModulesA@11975436,bolts.AppLink.sourceUrl,#9197,16,11
NotificationServiceV18.java,com.fasttrack.security.notificationcleaner.NotificationServiceV18.com.fasttrack.security.messagesecurity.MessageSecurityProcessor.process,#10057,15,9
MainActivity.java,com.fasttrack.security.MainActivity.onCreate,#9157,14,10
SCApplication.java,com.fasttrack.security.SCApplication$1.onPostReceive,#9166,14,9
ANRManagerNative.java,android.app.ANRManagerNative.asInterface,#21,13,6
MoPubBrowser.java,com.mopub.common.MoPubBrowser$1.onProgressChanged,#811,13,9
SceneJunkCleanFloatView.java,com.fasttrack.security.floatwindow.view.SceneJunkCleanFloatView.initView,#2478,13,7
AcbAdPlacementController.java,net.appcloudbox.ads.loadcontroller.AcbAdPlacementController.updatePreloadStrategy,#3853,13,10
:com.google.android.gms.DynamiteModulesA@11975436,bolts.UnobservedErrorNotifier.task,#9205,13,11
CallIdleAlert.java,com.call.assistant.ui.CallIdleAlert$6.onClick,#9159,12,7
Arrays.java,java.util.Arrays.checkOffsetAndCount,#599,11,7
NetworkChangeNotifierAutoDetect.java,org.chromium.net.NetworkChangeNotifierAutoDetect.getCurrentNetworkState,#3332,11,6
u,com.avl.engine.c.a.u.a,#4069,11,7
g,com.avl.engine.antivirus.g.a,#5759,11,7
SessionMgr.java,com.ihs.app.framework.inner.SessionMgr.startSession,#7624,11,8
:com.google.android.gms.DynamiteModulesA@11975036,com.acb.autopilot.inner.data.EventDBHelper.saveMessenger,#9148,11,9
BaseSettingsActivity.java,com.fasttrack.security.common.BaseSettingsActivity.onCreate,#1900,10,7
Config.java,net.appcloudbox.goldeneye.config.Config$2.net.appcloudbox.common.utils.AcbEncrypt.decode,#2164,10,7
AVLProvider,com.avl.engine.security.AVLProvider.update,#3966,10,8
NotificationDisplayManager.java,com.messagecenter.notification.NotificationDisplayManager$1.onReceive,#9123,10,8
:com.google.android.gms.DynamiteModulesA@11975440,com.airbnb.lottie.Cancellable.cancel,#9294,10,7
FloatWindowManager.java,com.ihs.flashlight.FloatWindowManager.createFloatWindow,#1350,9,2
AudienceNetworkActivity,com.facebook.ads.AudienceNetworkActivity.onBackPressed,#2432,9,8
FloatWindowManager.java,com.fasttrack.security.floatwindow.FloatWindowManager.createFloatWindowView$2fffad8c,#7291,9,7
CommonSessionMgr.java,net.appcloudbox.common.session.CommonSessionMgr.onActivityStart$63a22f9,#9132,9,3
:com.google.android.gms.DynamiteModulesA@11975236,bolts.Continuation.a,#9399,9,6
SnapSurfaceView.java,com.fasttrack.security.view.SnapSurfaceView$2.run,#1583,8,6
AVLProvider,com.avl.engine.security.AVLProvider.query,#5769,8,1
NativeProtocol.java,com.facebook.internal.NativeProtocol.fetchAllAvailableProtocolVersionsForAppInfo,#1266,7,7
StorageUtils.java,com.nostra13.universalimageloader.utils.StorageUtils.getCacheDirectory,#1284,7,3
FlashButton.java,com.fasttrack.security.lockscreen.charging.view.FlashButton.onSizeChanged,#2394,7,5
SmartClipRemoteRequestDispatcher.java,com.samsung.android.smartclip.SmartClipRemoteRequestDispatcher.,#2643,7,4
AcbContentProviderUtils.java,net.appcloudbox.common.utils.AcbContentProviderUtils.call$5671dad0,#2656,7,6
n,com.facebook.ads.internal.view.n.,#3737,7,1
Toasts.java,com.superapps.util.Toasts$1.run,#7886,7,5
:com.google.android.gms@11975436,lep.a,#8100,7,2
ChildConnectionAllocator.java,org.chromium.base.process_launcher.ChildConnectionAllocator.create,#8547,7,1
DeviceManager.java,com.fasttrack.security.util.DeviceManager.getRamUsage,#9027,7,6
TypefacedTextView.java,com.superapps.view.TypefacedTextView.onMeasure,#9192,7,6
CallIdleAlert.java,com.call.assistant.ui.CallIdleAlert.,#9213,7,2
IconScanView.java,com.fasttrack.security.view.IconScanView.startAnimationScan,#9260,7,7
CallIdleAlert.java,com.call.assistant.ui.CallIdleAlert$5.onClick,#9263,7,3
Notifications.java,com.superapps.util.Notifications$2.run,#9469,7,7
FloatTopBannerView.java,com.fasttrack.security.messagesecurity.view.FloatTopBannerView.hide,#9521,7,2
ThreadPoolFactory.java,com.ihs.device.common.async.ThreadPoolFactory.newThreadPool,#10044,7,1
GLSurfaceView.java,android.opengl.GLSurfaceView$EglHelper.throwEglException,#24,6,4
SmartClipRemoteRequestDispatcher.java,com.samsung.android.smartclip.SmartClipRemoteRequestDispatcher.,#1305,6,5
ActivityThread.java,android.app.ActivityThread.checkPowerSavingState,#1824,6,4
a,com.avl.engine.f.a.a,#3390,6,1
AcbAdPlacementController.java,net.appcloudbox.ads.loadcontroller.AcbAdPlacementController.isPreloadAllowed,#3868,6,6
